buyer_id,name,email,budget,preferred_neighborhood_id
1,Nicholas Matthews,nicholas_matthews1@email.com,792290.1,2848
2,Robert Howard,robert_howard2@email.com,1476567.21,1005
3,Scott Castillo,scott_castillo3@email.com,1325190.33,1804
4,Alice Nicholson,alice_nicholson4@email.com,1007053.07,885
5,Nichole Ellison,nichole_ellison5@email.com,303527.38,1216
6,Thomas Mack,thomas_mack6@email.com,441152.28,86
7,Catherine Dawson,catherine_dawson7@email.com,1300543.88,1980
8,Christopher Brown,christopher_brown8@email.com,1273103.01,1698
9,Karen Williams,karen_williams9@email.com,878851.29,2327
10,Brandi Walker,brandi_walker10@email.com,369134.75,763
11,Debra Rios MD,debra_rios_md11@email.com,1287066.69,2380
12,Jason Murphy,jason_murphy12@email.com,659463.57,2358
13,Kevin Santiago,kevin_santiago13@email.com,1344045.8,1586
14,Jimmy Woodard,jimmy_woodard14@email.com,1145509.89,2895
15,James Cameron,james_cameron15@email.com,1215516.26,1491
16,Bianca Evans,bianca_evans16@email.com,1224796.52,1080
17,Thomas Grant,thomas_grant17@email.com,703840.58,1494
18,Valerie Leach,valerie_leach18@email.com,1360074.0,962
19,Heather Moreno,heather_moreno19@email.com,548216.61,1463
20,Christina Daniels,christina_daniels20@email.com,207856.63,2840
21,Ian Bauer,ian_bauer21@email.com,288289.92,2878
22,Lisa Wise,lisa_wise22@email.com,445653.5,2205
23,Joseph Keith,joseph_keith23@email.com,910541.85,396
24,Cody Sanchez,cody_sanchez24@email.com,1473415.43,2079
25,Thomas Brewer,thomas_brewer25@email.com,1091695.49,2193
26,Riley Hubbard,riley_hubbard26@email.com,538878.69,2475
27,Christopher Taylor,christopher_taylor27@email.com,418954.2,1427
28,Heather Gamble,heather_gamble28@email.com,1104590.35,2642
29,Shannon Stewart,shannon_stewart29@email.com,1467090.22,918
30,Ashley Porter,ashley_porter30@email.com,751401.01,2353
31,Erica Spencer,erica_spencer31@email.com,1271258.77,1886
32,Kelly Willis,kelly_willis32@email.com,966328.32,2037
33,Shawn Santana,shawn_santana33@email.com,927488.1,265
34,Jason Mayer,jason_mayer34@email.com,1434429.62,702
35,Danny Maynard,danny_maynard35@email.com,130961.26,1837
36,John Davis,john_davis36@email.com,882594.46,236
37,Cory Fry,cory_fry37@email.com,1354178.28,1953
38,Patrick Stewart,patrick_stewart38@email.com,1314608.01,606
39,Terry Wright,terry_wright39@email.com,189287.57,1452
40,Katie Burke,katie_burke40@email.com,191577.86,2945
41,Jeffrey Goodman,jeffrey_goodman41@email.com,486526.53,1033
42,Brooke Phillips,brooke_phillips42@email.com,1426291.58,2981
43,Jason Johnson,jason_johnson43@email.com,138607.76,2449
44,Kimberly Scott,kimberly_scott44@email.com,787133.74,2885
45,Tyler Edwards,tyler_edwards45@email.com,1170111.27,547
46,Christian Holmes,christian_holmes46@email.com,1480689.23,882
47,Tricia Stephens,tricia_stephens47@email.com,1026521.16,1270
48,Alexander Marshall,alexander_marshall48@email.com,853753.98,2764
49,Christy Francis,christy_francis49@email.com,526525.49,953
50,Kathryn Ortiz,kathryn_ortiz50@email.com,897800.31,2081
51,Rebecca Smith,rebecca_smith51@email.com,1424774.9,591
52,Natalie Dunlap,natalie_dunlap52@email.com,1172820.35,2791
53,Joseph Montgomery,joseph_montgomery53@email.com,921621.45,28
54,Katherine Rodriguez,katherine_rodriguez54@email.com,1459243.93,217
55,Laura Jackson,laura_jackson55@email.com,1096959.2,1468
56,David Garza,david_garza56@email.com,922426.74,291
57,Tiffany White,tiffany_white57@email.com,959390.64,2170
58,Michael Coleman,michael_coleman58@email.com,679196.02,661
59,Frederick Rogers,frederick_rogers59@email.com,1125578.87,1020
60,Jennifer Williams,jennifer_williams60@email.com,1471694.73,735
61,John Jones,john_jones61@email.com,1270035.18,121
62,Julie Dorsey,julie_dorsey62@email.com,1009169.82,2028
63,Erin Andrews,erin_andrews63@email.com,1120133.97,1360
64,Sara Thomas,sara_thomas64@email.com,224748.02,1653
65,Michael Browning,michael_browning65@email.com,903604.05,2808
66,Jennifer Sanchez,jennifer_sanchez66@email.com,642431.6,1670
67,Wendy Oliver,wendy_oliver67@email.com,633806.99,1944
68,Linda White,linda_white68@email.com,293913.3,1407
69,Daisy Hinton,daisy_hinton69@email.com,356185.44,1275
70,Christopher Moore,christopher_moore70@email.com,597219.73,2897
71,Sonya Aguirre,sonya_aguirre71@email.com,702505.25,1033
72,Catherine Wright,catherine_wright72@email.com,799554.55,756
73,Ann Johnson,ann_johnson73@email.com,464707.79,822
74,Javier Payne,javier_payne74@email.com,417296.29,2652
75,Molly Haynes,molly_haynes75@email.com,986210.26,1392
76,Danielle Payne,danielle_payne76@email.com,732418.49,386
77,Jessica Waller,jessica_waller77@email.com,833414.18,84
78,Isabel Fisher,isabel_fisher78@email.com,1331021.77,250
79,Charles Rivera,charles_rivera79@email.com,1474814.17,243
80,Melinda Briggs,melinda_briggs80@email.com,1055794.12,392
81,Charles Miller,charles_miller81@email.com,335918.36,2168
82,Melissa Adams,melissa_adams82@email.com,117609.87,1339
83,Kyle Miller,kyle_miller83@email.com,638654.93,114
84,Richard Bowen,richard_bowen84@email.com,1220053.44,2327
85,Jason Simon,jason_simon85@email.com,888710.58,285
86,Alan Sellers,alan_sellers86@email.com,1437996.38,773
87,April Cruz,april_cruz87@email.com,991074.46,2041
88,Michael Flowers,michael_flowers88@email.com,354501.39,895
89,Susan Ball,susan_ball89@email.com,1466084.12,398
90,Jason Haley,jason_haley90@email.com,1320935.93,634
91,Jonathan Garrett,jonathan_garrett91@email.com,939605.63,2352
92,Randall Murray,randall_murray92@email.com,347699.6,1806
93,Jennifer Murphy,jennifer_murphy93@email.com,1088914.59,728
94,Melody Spencer,melody_spencer94@email.com,810260.22,1824
95,Michelle Nash,michelle_nash95@email.com,142478.33,159
96,Chloe Blake,chloe_blake96@email.com,1409410.26,493
97,Jennifer Rowe,jennifer_rowe97@email.com,1230086.77,1277
98,Cassandra Jackson,cassandra_jackson98@email.com,1409045.52,442
