 buyer_id |           name            |   budget   
----------+---------------------------+------------
        2 | Robert Howard             | 1476567.21
        3 | Scott Castillo            | 1325190.33
        7 | Catherine Dawson          | 1300543.88
        8 | Christopher Brown         | 1273103.01
       11 | Debra Rios MD             | 1287066.69
       13 | Kevin Santiago            |  1344045.8
       14 | Jimmy Woodard             | 1145509.89
       15 | James Cameron             | 1215516.26
       16 | Bianca Evans              | 1224796.52
       18 | Valerie Leach             |    1360074
       24 | Cody Sanchez              | 1473415.43
       25 | Thomas Brewer             | 1091695.49
       28 | Heather Gamble            | 1104590.35
       29 | Shannon Stewart           | 1467090.22
       31 | Erica Spencer             | 1271258.77
       34 | Jason Mayer               | 1434429.62
       37 | Cory Fry                  | 1354178.28
       38 | Patrick Stewart           | 1314608.01
       42 | Brooke Phillips           | 1426291.58
       45 | Tyler Edwards             | 1170111.27
       46 | Christian Holmes          | 1480689.23
       51 | Rebecca Smith             |  1424774.9
       52 | Natalie Dunlap            | 1172820.35
       54 | Katherine Rodriguez       | 1459243.93
       55 | Laura Jackson             |  1096959.2
       59 | Frederick Rogers          | 1125578.87
       60 | Jennifer Williams         | 1471694.73
       61 | John Jones                | 1270035.18
       63 | Erin Andrews              | 1120133.97
       78 | Isabel Fisher             | 1331021.77
       79 | Charles Rivera            | 1474814.17
       80 | Melinda Briggs            | 1055794.12
       84 | Richard Bowen             | 1220053.44
       86 | Alan Sellers              | 1437996.38
       89 | Susan Ball                | 1466084.12
       90 | Jason Haley               | 1320935.93
       93 | Jennifer Murphy           | 1088914.59
       96 | Chloe Blake               | 1409410.26
       97 | Jennifer Rowe             | 1230086.77
       98 | Cassandra Jackson         | 1409045.52
      101 | William Lewis             | 1360322.84
      103 | Jason Allen               | 1496278.67
      104 | Jacqueline Mcclain        | 1412945.57
      106 | Brendan Leonard           | 1197687.71
      107 | Claire Gamble             | 1036187.11
      112 | Brittney Jones            |  1383254.7
      113 | Brett Dixon               | 1235270.31
      114 | Victor Morris             | 1090692.41
      120 | Kevin Terry               | 1159692.86
      130 | Justin Cruz               | 1179179.83
      134 | Kristina Baldwin          | 1146991.94
      138 | Sharon Gamble             | 1453475.48
      141 | Wendy Smith               | 1323187.29
      144 | Ann Hobbs                 | 1078856.36
      146 | Michael Jimenez           | 1349298.51
      155 | Yvonne Watts              | 1478162.75
      156 | Holly Johnson             |  1257201.1
      157 | Peter Zhang               | 1384617.17
      160 | Derrick Davies            | 1035945.93
      161 | Debra Montoya             | 1052554.01
      162 | Julie Boyd                | 1309240.73
      164 | Christopher Jones         |    1131287
      168 | Terry Woods               |  1243414.5
      175 | Amanda Hunter             |    1363104
      178 | Brianna Rose              | 1437444.09
      179 | Kimberly Fisher           | 1402867.05
      184 | Daniel Sullivan DVM       |  1430292.7
      185 | Diane Jenkins             | 1285036.01
      189 | Abigail Gross             | 1266332.63
      191 | Ethan Mclaughlin          | 1228972.76
      196 | Amanda Madden             | 1173506.25
      197 | Jay Gibson                |  1175968.9
      201 | Luke Neal                 | 1390575.68
      216 | Tony Small                | 1108675.45
      217 | Kimberly Bowen            | 1405920.79
      219 | Erica Frank               | 1058043.25
      222 | Jill Johnson              | 1176173.61
      223 | Megan Shaw                | 1299804.22
      226 | Jared Webster             | 1253597.77
      227 | Brian Price               | 1412095.31
      230 | Natalie Anderson          | 1374337.51
      231 | Jessica Simpson           | 1056033.64
      237 | John Willis               | 1448255.56
      238 | Sarah Lam                 | 1498796.67
      243 | Cynthia Moore             | 1292357.11
